09:31:27 [INFO    ][deluge.configmanager:52  ] Setting config directory to: /config
09:31:28 [INFO    ][deluge.core.daemon            :94  ] Deluge daemon 2.0.3-2-201906121747-ubuntu18.04.1
09:31:28 [INFO    ][deluge.core.core              :339 ] Successfully loaded session.state: /config/session.state
09:31:28 [INFO    ][deluge.core.core              :339 ] Successfully loaded session.state: /config/session.state.bak
09:31:28 [INFO    ][deluge.core.alertmanager      :148 ] Alert Queue Size set to 10000
09:31:28 [INFO    ][deluge.core.rpcserver         :402 ] Starting DelugeRPC server localhost:58846
09:31:28 [INFO    ][twisted                       :154 ] Factory (TLS) starting on 58846
09:31:28 [INFO    ][twisted                       :154 ] Starting factory <twisted.internet.protocol.Factory object at 0x7fb4ab60bb38>
09:31:28 [INFO    ][deluge.core.daemon            :154 ] Deluge daemon starting...
09:31:28 [INFO    ][deluge_label.core             :78  ] *** Start Label plugin ***
09:31:28 [INFO    ][deluge.pluginmanagerbase      :189 ] Plugin Label enabled...
09:31:28 [INFO    ][deluge.core.authmanager       :228 ] Opening auth for load: /config/auth
09:31:28 [INFO    ][deluge.core.authmanager       :236 ] Successfully loaded auth: /config/auth
09:31:28 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance:  - : performance warning: too many optimistic unchoke slots, too_many_optimistic_unchoke_slots
09:31:28 [INFO    ][deluge.core.torrentmanager    :1609] on_alert_external_ip: 130.255.158.74
09:31:28 [INFO    ][deluge.core.torrentmanager    :806 ] Loading torrent state: /config/state/torrents.state
09:31:28 [INFO    ][deluge.core.torrentmanager    :819 ] Successfully loaded /config/state/torrents.state
09:31:28 [INFO    ][deluge.core.torrentmanager    :1066] Opening torrents.fastresume for load: /config/state/torrents.fastresume
09:31:28 [INFO    ][deluge.core.torrentmanager    :1077] Successfully loaded torrents.fastresume: /config/state/torrents.fastresume
09:31:28 [INFO    ][deluge.core.torrentmanager    :672 ] Torrent reflective-desire-sep-2020 from user "localclient" loaded
09:31:28 [INFO    ][deluge.core.torrentmanager    :885 ] Finished loading 1 torrents in 0:00:00.369467
09:31:31 [INFO    ][deluge.core.rpcserver         :171 ] Deluge Client connection made from: 127.0.0.1:38462
13:12:05 [INFO    ][deluge.core.torrentmanager    :672 ] Torrent the-godfather-part-ii-1974 from user "localclient" added
13:12:05 [WARNING ][deluge.core.torrentmanager    :1255] Torrent id not in torrents loading list: 'bab595f912c144cea3b001390384865b79f78d7c'
13:12:09 [INFO    ][deluge.core.torrentmanager    :672 ] Torrent the-godfather-part-iii-1990 from user "localclient" added
13:12:09 [WARNING ][deluge.core.torrentmanager    :1255] Torrent id not in torrents loading list: 'cf892f58b4ad7589cb052f659fb3d8021ea49491'
13:12:17 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:18 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:19 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:20 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:21 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:22 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:22 [INFO    ][deluge.core.torrentmanager    :672 ] Torrent the-godfather-1972 from user "localclient" added
13:12:22 [WARNING ][deluge.core.torrentmanager    :1255] Torrent id not in torrents loading list: 'eaefb74b7736d4579cc3da91457da7a755babc3a'
13:12:24 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:25 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:26 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
